period_start,trading_end,Long,Short,distance,return_diff_entry,return_diff_exit,trigger,return,date_entry,date_exit,exit_reason,days_in_trade
2023-01-03,2024-05-31,FE,CMS,0.08724868675669689,0.04241758672754248,0.03128539415522913,0.031382486289844275,-0.005593685812794957,2024-01-11 05:00:00+00:00,2024-01-16 05:00:00+00:00,Convergence,2
2023-01-03,2024-05-31,FE,CMS,0.08724868675669689,0.03241293663496547,0.0252651191440888,0.031382486289844275,-0.0033592845249984515,2024-01-17 05:00:00+00:00,2024-01-22 05:00:00+00:00,Convergence,3
2023-01-03,2024-05-31,FE,CMS,0.08724868675669689,0.05312936675161262,0.027950535942494636,0.031382486289844275,-0.01283193537008298,2024-02-09 05:00:00+00:00,2024-02-23 05:00:00+00:00,Convergence,9
2023-01-03,2024-05-31,FE,CMS,0.08724868675669689,0.03466104146448379,0.031195015066211473,0.031382486289844275,-0.0018065133232733066,2024-03-14 04:00:00+00:00,2024-03-21 04:00:00+00:00,Convergence,5
2023-01-03,2024-05-31,FE,CMS,0.08724868675669689,0.03840164121879086,0.029122649689253266,0.031382486289844275,-0.004339520119670759,2024-03-25 04:00:00+00:00,2024-03-26 04:00:00+00:00,Convergence,1
2023-01-03,2024-05-31,FE,CMS,0.08724868675669689,0.032349855236490366,0.030831877971904675,0.031382486289844275,-0.0006609444826077837,2024-04-10 04:00:00+00:00,2024-04-11 04:00:00+00:00,Convergence,1
2023-01-03,2024-05-31,CMS,DTE,0.09431882052468192,-0.03759381829094777,-0.035070574012224465,0.03619856464293661,-0.0014276281974170413,2024-04-16 04:00:00+00:00,2024-04-18 04:00:00+00:00,Convergence,2
2023-01-03,2024-05-31,CMS,DTE,0.09431882052468192,-0.03669382586512082,-0.03149182601850775,0.03619856464293661,-0.002638724673470927,2024-04-30 04:00:00+00:00,2024-05-01 04:00:00+00:00,Convergence,1
2023-01-03,2024-05-31,CMS,DTE,0.09431882052468192,-0.03685974175451334,-0.03316875303862776,0.03619856464293661,-0.001878971844970767,2024-05-07 04:00:00+00:00,2024-05-08 04:00:00+00:00,Convergence,1
2023-01-03,2024-05-31,CMS,DTE,0.09431882052468192,-0.03677226004891332,-0.03564686440645448,0.03619856464293661,-0.0006987720671995934,2024-05-29 04:00:00+00:00,2024-05-30 04:00:00+00:00,End of Period,1
2023-01-03,2024-05-31,CPT,MAA,0.10721964030593482,-0.04044735608239147,-0.0352472259582699,0.03527502886016616,-0.0027254021935665396,2024-04-08 04:00:00+00:00,2024-04-09 04:00:00+00:00,Convergence,1
2023-01-03,2024-05-31,CPT,MAA,0.10721964030593482,-0.05691831949361292,-0.032794611916320715,0.03527502886016616,-0.011770412965311228,2024-05-03 04:00:00+00:00,2024-05-20 04:00:00+00:00,Convergence,11
